Timestamp,DateTime,AO 1,AO 2,AO 21,AO 22,BLP,Brake H,Brake L,Brake Release,CurrentOutLimit,Dhw demand border,Drivestate,EEVC TFL2,EEVH TFL1,EVU_ready,Envelope Nr,Heat demand border,HotGasExcessLevel,KS,Kuehl_umschaltung,LA_DFS_Soll,LA_PCB_Temp,LA_TargetFanRPM,LA_VD_Soll,LIN QoS - HZ/IO,Max Compr. Speed,Max Power Consumption Limit - EVU/SG,Max Power Consumption Limit - SHI,MemUsage Avail,MemUsage Heap,MemUsage Proc,ModBus QoS - ASB,ModBus QoS - Inverter,ModBus QoS - Ventilator,Motor1CurrentOut,Motor1PowerOut,Netzein_ready,PFC Temp,PM Temp,PWM Text_Ventil_BOSUP,PfcCurrentInputLimit,PfcInputCurrent,Power Consumption,PowerOutLimit,Signal_ABT,Signal_BAN,Signal_BivRed,Signal_CoolingClearance,Signal_HAN,Signal_SWAN,Signal_VD_aktiv,Silent Mode,Spr. VBO Soll,Start Power Consumption,Stepped Speed,Text_ABS_DFS,Text_ASD,Text_AbtEndTemp,Text_Abtauen,Text_Abtauventil,Text_AnalogIn 21,Text_AnalogIn 22,Text_Ansaug_Verdichter,Text_Aussent,Text_BUP,Text_BW_Ist,Text_BW_Soll,Text_COPS,Text_DSH_Is,Text_DSH_Set,Text_Defrost_Demand,Text_EEV_Heizen,Text_EEV_Kuehlen,Text_EVU,Text_EVU 2,Text_Ext_Energ,Text_FUP1,Text_FUP2,Text_FUP3,Text_Fehlerspeicher,Text_FreigZWE,Text_FreigZWE_WW,Text_HD,Text_HUP,Text_Heissgas,Text_Kaltekreis,Text_Kapazitat,Text_MK1VL_Soll,Text_MK1_Vorlauf,Text_MK2VL_Soll,Text_MK2_Vorlauf,Text_MK3VL_Soll,Text_MK3_Vorlauf,Text_MOT,Text_Mischer1Auf,Text_Mischer1Zu,Text_Mischer2Auf,Text_Mischer2Zu,Text_Mischer3Auf,Text_Mischer3Zu,Text_Mitteltemperatur,Text_ND,Text_PEX,Text_PWM_UWP,Text_PanHeater,Text_PowerConsumption,Text_RL_Soll,Text_Rucklauf,Text_Ruecklext,Text_SLP,Text_SSP_Zeit,Text_SUP,Text_SWT,Text_SW_Stand,Text_ShutdownComprTimer,Text_Solarkoll,Text_Solarsp,Text_SuperheatMode,Text_THGmax,Text_Therm_Desinfekt,Text_UK_Hauptventil,Text_Ueberhitzung,Text_Ueberhitzung_Soll,Text_VD_Heizung,Text_VD_RPM Text_Aktuell,Text_VD_RPM Text_Max,Text_VD_RPM Text_Min,Text_VD_RPM Text_Sollwert,Text_VL_Soll,Text_Ven_RPM,Text_Ventil_BOSUP,Text_Verdampfungstemp,Text_Verdichter,Text_Verfluessigungstemp,Text_Vorlauf,Text_Vorlaufmax,Text_WP_Typ,Text_WQ_Ein,Text_ZIP,Text_ZUP,Text_ZWE1,Text_ZWE2_SST,Text_ZWE3,Text_Zugang,Text_Zwangsbrauchwasser,Text_Zwangsheizung,Timer_BIV_mehr,Timer_VD1_Laufz,VD-Heizung Soll,coolingClearance_Rev.,git short hash 0,git short hash 1,git short hash 2,git short hash 3
1752220362,2025-07-11 09:52:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,44.0,2.0,28.6,28.1,0,7.0,75.0,0.0,1,1,60.0,30.5,0.0,0.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,100.0,100.0,0.0,0.0,1,24.1,25.0,0.0,20.0,0.0,0.0,4.4,0,0,0,1,0,0,0.0,0,3.0,0.7,0.0,59.2,1,0.0,-50.0,0,0.0,0.0,34.8,20.7,0,44.2,46.0,0,23.6,0.0,0.0,0.0,0.0,1,0,5.0,1,1,1,0.0,360.0,0.0,142.0,1,45.5,-50.0,0.0,0.0,75.0,20.0,22.7,38.9,75.0,1,0,0,0,0,0,0,17.2,141.2,0,31.2,0,0.0,23.1,22.9,5.0,0,1,0,0,3910.0,0.0,5.0,150.0,0,90.0,0,-6.8,13.1,20.0,0,0.0,0.0,0.0,0.0,20.0,0.0,0,21.6,0,21.8,22.8,60.0,81.0,23.0,0,0,0,0,0,3.0,0,0,151.9,0.0,5.5,1,12388.0,25444.0,13879.0,25186.0
1752220422,2025-07-11 09:53:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,44.0,2.0,28.5,28.0,0,7.0,75.0,0.0,1,1,60.0,30.5,0.0,0.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,100.0,100.0,0.0,0.0,1,24.1,25.0,0.0,20.0,0.0,0.0,4.4,0,0,0,1,0,0,0.0,0,3.0,0.7,0.0,60.7,1,0.0,-50.0,0,0.0,0.0,35.0,20.8,0,44.1,46.0,0,23.6,0.0,0.0,0.0,0.0,1,0,5.0,1,1,1,0.0,360.0,0.0,141.7,1,45.3,-50.0,0.0,0.0,75.0,20.0,22.8,38.9,75.0,1,0,0,0,0,0,0,17.2,140.8,0,31.1,0,0.0,23.1,23.0,5.0,0,1,0,0,3910.0,0.0,5.0,150.0,0,90.0,0,-6.8,13.4,20.0,0,0.0,0.0,0.0,0.0,20.0,0.0,0,21.5,0,21.7,22.9,60.0,81.0,23.0,0,0,0,0,0,3.0,0,0,157.9,0.0,5.5,1,12388.0,25444.0,13879.0,25186.0
1752220482,2025-07-11 09:54:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,44.0,2.0,28.5,27.9,0,7.0,75.0,0.0,1,1,60.0,30.5,0.0,0.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,100.0,100.0,0.0,0.0,1,24.2,25.0,0.0,20.0,0.0,0.0,4.4,0,0,0,1,0,0,0.0,0,3.0,0.7,0.0,60.7,1,0.0,-50.0,0,0.0,0.0,35.1,20.8,0,44.1,46.0,0,23.4,0.0,0.0,0.0,0.0,1,0,5.0,1,1,1,0.0,360.0,0.0,141.9,1,45.2,-50.0,0.0,0.0,75.0,20.0,22.8,38.9,75.0,1,0,0,0,0,0,0,17.2,141.0,0,31.2,0,0.0,23.1,23.0,5.0,0,1,0,0,3910.0,0.0,5.0,150.0,0,90.0,0,-6.7,13.5,20.0,0,0.0,0.0,0.0,0.0,20.0,0.0,0,21.6,0,21.8,22.9,60.0,81.0,22.9,0,0,0,0,0,3.0,0,0,163.9,0.0,5.5,1,12388.0,25444.0,13879.0,25186.0
1752220542,2025-07-11 09:55:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,44.0,2.0,28.4,27.8,0,7.0,75.0,0.0,1,1,60.0,30.5,0.0,0.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,100.0,100.0,0.0,0.0,1,24.2,25.0,0.0,20.0,0.0,0.0,4.4,0,0,0,1,0,0,0.0,0,3.0,0.7,0.0,60.2,1,0.0,-50.0,0,0.0,0.0,35.3,20.8,0,44.0,46.0,0,23.2,0.0,0.0,0.0,0.0,1,0,5.0,1,1,1,0.0,360.0,0.0,141.9,1,45.0,-50.0,0.0,0.0,75.0,20.0,22.8,38.9,75.0,1,0,0,0,0,0,0,17.2,141.0,0,31.2,0,0.0,23.1,23.0,5.0,0,1,0,0,3910.0,0.0,5.0,150.0,0,90.0,0,-6.6,13.6,20.0,0,0.0,0.0,0.0,0.0,20.0,0.0,0,21.6,0,21.8,22.9,60.0,81.0,22.9,0,0,0,0,0,3.0,0,0,169.9,0.0,5.5,1,12388.0,25444.0,13879.0,25186.0
1752220602,2025-07-11 09:56:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,44.0,2.0,28.4,27.7,0,7.0,75.0,0.0,0,0,100.0,30.5,20.0,0.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,100.0,100.0,0.0,0.0,1,24.2,25.1,0.0,20.0,0.0,0.0,4.4,0,1,0,0,0,0,0.0,0,3.0,0.7,0.0,65.8,1,0.0,-50.0,0,0.0,0.0,35.3,20.9,1,43.9,46.0,0,23.0,0.0,0.0,21.2,36.2,1,0,5.0,1,0,0,0.0,360.0,0.0,142.5,1,44.8,-50.0,0.0,0.0,75.0,20.0,22.8,38.9,75.0,1,0,0,0,1,0,0,17.2,141.6,0,39.8,0,0.1,23.1,23.0,5.0,0,0,0,0,3910.0,0.0,5.0,150.0,0,90.0,0,-5.8,13.6,20.0,0,0.0,0.0,0.0,0.0,20.0,21.0,1,21.7,0,21.9,23.0,60.0,81.0,22.8,0,0,0,0,0,3.0,0,0,0.0,0.0,5.5,1,12388.0,25444.0,13879.0,25186.0
1752220662,2025-07-11 09:57:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,46.0,11.0,37.8,27.6,0,5.0,75.0,0.0,0,0,60.0,30.8,49.0,1.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,98.0,100.0,3.9,0.3,1,34.9,27.2,0.0,20.0,1.3,0.4,4.4,0,1,0,0,0,0,1.0,0,3.0,0.7,30.0,98.4,1,0.0,-50.0,0,0.0,0.0,35.5,21.0,1,43.8,46.0,0,1.8,0.0,0.0,21.0,100.0,1,0,5.0,1,0,0,0.0,360.0,0.0,233.9,1,40.0,-50.0,31.4,0.0,75.0,20.0,29.3,38.9,75.0,1,0,0,0,1,0,0,17.2,134.8,0,41.8,0,3.3,23.1,38.7,5.0,0,1,0,0,3910.0,0.0,5.0,150.0,0,90.0,0,12.5,15.4,20.0,0,13.3,50.0,18.0,30.0,20.0,48.9,1,20.0,1,40.2,39.0,60.0,81.0,22.3,0,0,0,0,0,3.0,0,0,0.0,0.4,5.5,1,12388.0,25444.0,13879.0,25186.0
1752220722,2025-07-11 09:58:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,46.0,11.0,41.6,37.5,0,2.0,75.0,0.0,0,0,60.0,33.3,43.1,1.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,100.0,100.0,5.9,1.2,1,44.1,36.2,0.0,20.0,5.2,1.4,4.4,0,1,0,0,0,0,1.0,0,3.0,0.7,30.0,61.7,1,0.0,-50.0,0,0.0,0.0,16.8,21.0,1,43.7,46.0,0,1.2,0.0,0.0,29.8,100.0,1,0,5.0,1,0,0,0.0,360.0,0.0,278.4,1,49.3,-50.0,53.1,0.0,75.0,20.0,37.2,38.9,75.0,1,0,0,0,1,0,0,17.2,71.7,0,27.3,0,13.0,23.1,40.6,5.0,0,1,0,0,3910.0,0.0,5.0,150.0,0,115.0,0,9.6,14.6,7.1,0,30.1,60.0,18.0,30.0,20.0,43.4,1,0.7,1,47.2,45.4,60.0,81.0,21.7,0,0,0,0,0,3.0,0,0,0.0,6.4,5.5,1,12388.0,25444.0,13879.0,25186.0
1752220782,2025-07-11 09:59:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,46.0,11.0,39.5,38.3,0,2.0,75.0,0.0,0,0,60.0,36.4,49.0,1.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,100.0,100.0,5.5,1.1,1,44.7,40.3,0.0,20.0,4.9,1.3,4.4,0,1,0,0,0,0,1.0,0,3.0,0.7,30.0,59.2,1,0.0,-50.0,0,0.0,0.0,20.8,21.1,1,43.5,46.0,0,16.9,0.0,0.0,32.5,100.0,1,0,5.0,1,0,0,0.0,360.0,0.0,264.0,1,63.6,-50.0,42.5,0.0,75.0,20.0,38.8,38.8,75.0,1,0,0,0,1,0,0,17.2,65.8,0,27.3,0,12.4,23.1,39.3,5.0,0,1,0,0,3910.0,0.0,5.0,150.0,0,115.0,0,6.7,22.5,7.5,0,30.0,60.0,18.0,30.0,20.0,48.9,1,-1.5,1,45.0,43.0,60.0,81.0,21.4,0,0,0,0,0,3.0,0,0,0.0,12.4,5.5,1,12388.0,25444.0,13879.0,25186.0
1752220842,2025-07-11 10:00:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,46.0,11.0,41.9,38.6,0,2.0,75.0,0.0,0,0,60.0,38.7,46.0,1.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,100.0,100.0,6.0,1.2,1,46.9,43.2,0.0,20.0,5.2,1.4,4.4,0,1,0,0,0,0,1.0,0,3.0,0.7,30.0,58.7,1,0.0,-50.0,0,0.0,0.0,21.9,21.1,1,43.4,46.0,0,24.8,0.0,0.0,37.7,100.0,1,0,5.0,1,0,0,0.0,360.0,0.0,278.3,1,72.7,-50.0,51.5,0.0,75.0,20.0,41.2,38.8,75.0,1,0,0,0,1,0,0,17.2,82.9,0,27.3,0,13.3,23.1,41.7,5.0,0,1,0,0,3910.0,0.0,5.0,150.0,0,115.0,0,8.5,17.0,7.5,0,29.9,60.0,18.0,30.0,20.0,46.9,1,4.8,1,47.2,46.3,60.0,81.0,21.2,0,0,0,0,0,3.0,0,0,0.0,18.4,5.5,1,12388.0,25444.0,13879.0,25186.0
1752220902,2025-07-11 10:01:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,46.0,11.0,42.2,39.8,0,2.0,75.0,0.0,0,0,68.8,40.8,37.5,1.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,100.0,100.0,6.0,1.2,1,48.3,45.5,0.0,20.0,5.1,1.4,4.4,0,1,0,0,0,0,1.0,0,3.0,0.7,30.0,67.3,1,0.0,-50.0,0,0.0,0.0,21.8,21.2,1,43.4,46.0,0,28.0,0.0,0.0,40.2,100.0,1,0,5.0,1,0,0,0.0,360.0,0.0,275.7,1,75.2,-50.0,54.1,0.0,75.0,20.0,43.5,38.8,75.0,1,0,0,0,1,0,0,17.2,86.8,0,30.9,0,12.9,23.1,42.1,5.0,0,1,0,0,3910.0,0.0,5.0,150.0,0,115.0,0,7.0,15.5,7.4,0,30.0,60.0,18.0,30.0,20.0,38.9,1,6.1,1,46.8,47.6,60.0,81.0,21.1,0,0,0,0,0,3.0,0,0,0.0,24.4,5.5,1,12388.0,25444.0,13879.0,25186.0
1752220962,2025-07-11 10:02:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,46.0,11.0,42.5,40.2,0,2.0,75.0,0.0,0,0,78.3,42.5,27.7,1.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,100.0,100.0,6.0,1.2,1,49.1,46.8,0.0,20.0,5.1,1.3,4.4,0,1,0,0,0,0,1.0,0,3.0,0.7,30.0,73.9,1,0.0,-50.0,0,0.0,0.0,22.0,21.2,1,43.4,46.0,0,30.3,0.0,0.0,42.9,100.0,1,0,5.0,1,0,0,0.0,360.0,0.0,277.2,1,77.7,-50.0,54.5,0.0,75.0,20.0,44.3,38.8,75.0,1,0,0,0,1,0,0,17.2,88.5,0,35.2,0,12.7,23.1,42.3,5.0,0,1,0,0,3910.0,0.0,5.0,150.0,0,115.0,0,6.7,15.2,7.3,0,30.0,60.0,18.0,30.0,20.0,29.2,1,6.7,1,47.0,47.6,60.0,81.0,21.1,0,0,0,0,0,3.0,0,0,0.0,30.4,5.5,1,12388.0,25444.0,13879.0,25186.0
1752221022,2025-07-11 10:03:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,46.0,11.0,43.9,41.1,0,2.0,75.0,0.0,0,0,87.4,43.9,20.0,1.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,100.0,100.0,6.0,1.2,1,50.3,48.0,0.0,20.0,5.2,1.3,4.4,0,1,0,0,0,0,1.0,0,3.0,0.7,30.0,85.2,1,0.0,-50.0,0,0.0,0.0,21.6,21.3,1,43.4,46.0,0,32.0,0.0,0.0,45.6,100.0,1,0,5.0,1,0,0,0.0,360.0,0.0,279.9,1,79.6,-50.0,55.5,0.0,75.0,20.0,45.1,38.8,75.0,1,0,0,0,1,0,0,17.2,90.5,0,39.9,0,12.7,23.1,43.3,5.0,0,1,0,0,3910.0,0.0,5.0,150.0,0,115.0,0,6.2,14.2,7.3,0,30.0,60.0,18.0,28.8,20.0,19.9,1,7.4,1,47.4,48.2,60.0,81.0,21.2,0,0,0,0,0,3.0,0,0,0.0,36.4,5.5,1,12388.0,25444.0,13879.0,25186.0
1752221082,2025-07-11 10:04:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,46.0,11.0,46.9,42.2,0,2.0,75.0,0.0,0,0,85.6,45.1,20.0,1.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,100.0,100.0,6.0,1.1,1,50.7,49.0,0.0,20.0,4.7,1.2,4.4,0,1,0,0,0,0,1.0,0,3.0,0.7,26.8,85.7,1,0.0,-50.0,0,0.0,0.0,20.9,21.4,1,43.5,46.0,0,32.8,0.0,0.0,43.7,100.0,1,0,5.0,1,0,0,0.0,360.0,0.0,279.3,1,80.1,-50.0,52.0,0.0,75.0,20.0,45.8,38.7,75.0,1,0,0,0,1,0,0,17.2,96.3,0,40.3,0,11.5,23.1,43.8,5.0,0,1,0,0,3910.0,0.0,5.0,150.0,0,115.0,0,5.1,11.6,7.2,0,26.8,60.0,18.0,26.3,20.0,19.9,1,9.3,1,47.4,48.3,60.0,81.0,21.3,0,0,0,0,0,3.0,0,0,0.0,42.4,5.5,1,12388.0,25444.0,13879.0,25186.0
1752221142,2025-07-11 10:05:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,46.0,11.0,47.6,44.5,0,2.0,75.0,0.0,0,0,74.1,46.0,20.0,1.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,100.0,100.0,6.0,1.1,1,51.0,49.7,0.0,20.0,4.4,1.2,4.4,0,1,0,0,0,0,1.0,0,3.0,0.7,25.4,74.5,1,0.0,-50.0,0,0.0,0.0,20.2,21.4,1,43.7,46.0,0,31.3,0.0,0.0,42.9,100.0,1,0,5.0,1,0,0,0.0,360.0,0.0,281.6,1,79.0,-50.0,49.9,0.0,75.0,20.0,46.3,38.7,75.0,1,0,0,0,1,0,0,17.2,98.6,0,35.7,0,11.0,23.1,44.2,5.0,0,1,0,0,3910.0,0.0,5.0,150.0,0,115.0,0,3.1,10.1,7.6,0,25.4,60.0,18.0,25.4,20.0,19.9,1,10.0,1,47.7,48.7,60.0,81.0,21.2,0,0,0,0,0,3.0,0,0,0.0,48.4,5.5,1,12388.0,25444.0,13879.0,25186.0
1752221202,2025-07-11 10:06:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,46.0,11.0,47.9,45.3,0,2.0,75.0,0.0,0,0,71.2,46.8,20.0,1.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,100.0,100.0,6.0,1.1,1,51.4,50.4,0.0,20.0,4.5,1.2,4.4,0,1,0,0,0,0,1.0,0,3.0,0.7,25.4,70.4,1,0.0,-50.0,0,0.0,0.0,19.2,21.5,1,44.0,46.0,0,30.4,0.0,0.0,42.7,100.0,1,0,5.0,1,0,0,0.0,360.0,0.0,284.5,1,78.4,-50.0,50.2,0.0,75.0,20.0,46.6,38.7,75.0,1,0,0,0,1,0,0,17.2,100.1,0,33.5,0,11.0,23.1,44.4,5.0,0,1,0,0,3910.0,0.0,5.0,150.0,0,113.0,0,2.7,8.7,9.0,0,25.4,60.0,18.0,25.4,20.0,19.9,1,10.5,1,48.1,49.1,60.0,81.0,21.2,0,0,0,0,0,3.0,0,0,0.0,54.4,5.5,1,12388.0,25444.0,13879.0,25186.0
1752221262,2025-07-11 10:07:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,46.0,11.0,48.3,45.7,0,2.0,75.0,0.0,0,0,67.6,47.5,20.0,1.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,100.0,100.0,6.0,1.1,1,51.7,50.9,0.0,20.0,4.5,1.2,4.4,0,1,0,0,0,0,1.0,0,3.0,0.7,25.4,69.4,1,0.0,-50.0,0,0.0,0.0,18.1,21.5,1,44.1,46.0,0,29.3,0.0,0.0,41.8,100.0,1,0,5.0,1,0,0,0.0,360.0,0.0,286.4,1,77.6,-50.0,50.0,0.0,75.0,20.0,47.1,38.7,75.0,1,0,0,0,1,0,0,17.2,100.4,0,32.2,0,11.1,23.1,44.5,5.0,0,1,0,0,3910.0,0.0,5.0,150.0,0,112.0,0,2.6,7.5,10.2,0,25.1,60.0,18.0,24.9,20.0,19.9,1,10.5,1,48.4,49.4,60.0,81.0,21.2,0,0,0,0,0,3.0,0,0,0.0,60.4,5.5,1,12388.0,25444.0,13879.0,25186.0
1752221322,2025-07-11 10:08:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,46.0,11.0,48.6,45.9,0,2.0,75.0,0.0,0,0,64.6,48.1,20.0,1.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,100.0,100.0,6.1,1.1,1,52.1,51.4,0.0,20.0,4.6,1.2,4.4,0,1,0,0,0,0,1.0,0,3.0,0.7,25.4,61.2,1,0.0,-50.0,0,0.0,0.0,17.6,21.6,1,44.3,46.0,0,28.6,0.0,0.0,40.4,100.0,1,0,5.0,1,0,0,0.0,360.0,0.0,288.9,1,77.3,-50.0,50.5,0.0,75.0,20.0,47.5,38.7,75.0,1,0,0,0,1,0,0,17.2,100.3,0,30.5,0,11.2,23.1,44.6,5.0,0,1,0,0,3910.0,0.0,5.0,150.0,0,112.5,0,2.7,7.0,10.5,0,25.5,60.0,18.0,25.5,20.0,19.9,1,10.5,1,48.8,49.8,60.0,81.0,21.1,0,0,0,0,0,3.0,0,0,0.0,66.4,5.5,1,12388.0,25444.0,13879.0,25186.0
1752221382,2025-07-11 10:09:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,46.0,11.0,47.9,45.9,0,2.0,75.0,0.0,0,0,64.3,48.6,20.0,1.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,100.0,100.0,6.1,1.1,1,52.4,51.9,0.0,20.0,4.6,1.2,4.4,0,1,0,0,0,0,1.0,0,3.0,0.7,25.4,58.7,1,0.0,-50.0,0,0.0,0.0,18.3,21.6,1,44.4,46.0,0,28.6,0.0,0.0,39.3,100.0,1,0,5.0,1,0,0,0.0,360.0,0.0,290.0,1,77.7,-50.0,49.3,0.0,75.0,20.0,47.8,38.7,75.0,1,0,0,0,1,0,0,17.2,99.4,0,30.3,0,11.2,23.1,44.8,5.0,0,1,0,0,3910.0,0.0,5.0,150.0,0,114.0,0,2.9,8.0,10.4,0,25.2,60.0,18.0,25.3,20.0,19.9,1,10.2,1,48.9,50.0,60.0,81.0,21.1,0,0,0,0,0,3.0,0,0,0.0,72.4,5.5,1,12388.0,25444.0,13879.0,25186.0
1752221442,2025-07-11 10:10:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,46.0,11.0,47.7,45.6,0,2.0,75.0,0.0,0,0,66.7,49.1,20.0,1.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,100.0,100.0,6.1,1.1,1,52.6,52.3,0.0,20.0,4.5,1.2,4.4,0,1,0,0,0,0,1.0,0,3.0,0.7,25.5,61.2,1,0.0,-50.0,0,0.0,0.0,19.4,21.7,1,44.6,46.0,0,29.2,0.0,0.0,38.3,100.0,1,0,5.0,1,0,0,0.0,360.0,0.0,291.2,1,78.4,-50.0,49.5,0.0,75.0,20.0,48.0,38.7,75.0,1,0,0,0,1,0,0,17.2,98.8,0,31.2,0,11.2,23.1,45.0,5.0,0,1,0,0,3910.0,0.0,5.0,150.0,0,115.0,0,3.4,9.3,9.4,0,25.4,60.0,18.0,25.5,20.0,19.9,1,10.0,1,49.1,50.1,60.0,81.0,21.1,0,0,0,0,0,3.0,0,0,0.0,78.4,5.5,1,12388.0,25444.0,13879.0,25186.0
1752221502,2025-07-11 10:11:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,46.0,11.0,47.8,45.5,0,2.0,75.0,0.0,0,0,71.6,49.5,20.0,1.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,100.0,100.0,6.2,1.1,1,52.9,52.7,0.0,20.0,4.6,1.2,4.4,0,1,0,0,0,0,1.0,0,3.0,0.7,25.9,73.9,1,0.0,-50.0,0,0.0,0.0,20.2,21.8,1,44.8,46.0,0,30.0,0.0,0.0,39.8,100.0,1,0,5.0,1,0,0,0.0,360.0,0.0,291.7,1,79.4,-50.0,49.5,0.0,75.0,20.0,48.3,38.6,75.0,1,0,0,0,1,0,0,17.2,97.4,0,32.8,0,11.5,23.1,45.2,5.0,0,1,0,0,3910.0,0.0,5.0,150.0,0,115.0,0,3.5,10.5,7.9,0,25.7,60.0,18.0,25.7,20.0,19.9,1,9.6,1,49.2,50.3,60.0,81.0,21.1,0,0,0,0,0,3.0,0,0,0.0,84.4,5.5,1,12388.0,25444.0,13879.0,25186.0
1752221562,2025-07-11 10:12:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,46.0,11.0,49.1,45.9,0,2.0,75.0,0.0,0,0,74.3,49.8,20.0,1.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,100.0,100.0,6.2,1.1,1,53.0,53.1,0.0,20.0,4.6,1.2,4.4,0,1,0,0,0,0,1.0,0,3.0,0.7,25.6,78.5,1,0.0,-50.0,0,0.0,0.0,20.6,21.8,1,44.9,46.0,0,30.8,0.0,0.0,40.6,100.0,1,0,5.0,1,0,0,0.0,360.0,0.0,292.4,1,80.1,-50.0,49.9,0.0,75.0,20.0,48.4,38.6,75.0,1,0,0,0,1,0,0,17.2,99.1,0,35.0,0,11.4,23.1,45.5,5.0,0,1,0,0,3910.0,0.0,5.0,150.0,0,114.5,0,3.3,10.4,8.2,0,25.5,60.0,18.0,25.5,20.0,19.9,1,10.1,1,49.3,50.3,60.0,81.0,21.3,0,0,0,0,0,3.0,0,0,0.0,90.4,5.5,1,12388.0,25444.0,13879.0,25186.0
1752221622,2025-07-11 10:13:42,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,12.7,46.0,11.0,49.3,46.6,0,2.0,75.0,0.0,0,0,77.9,50.2,20.0,1.0,100.0,100.0,4.2,30.0,84.6,81.4,58.3,100.0,100.0,100.0,6.2,1.1,1,53.2,53.3,0.0,20.0,4.7,1.2,4.4,0,1,0,0,0,0,1.0,0,3.0,0.7,25.7,74.5,1,0.0,-50.0,0,0.0,0.0,20.6,21.9,1,45.0,46.0,0,31.3,0.0,0.0,42.5,100.0,1,0,5.0,1,0,0,0.0,360.0,0.0,293.6,1,80.8,-50.0,50.4,0.0,75.0,20.0,48.6,38.6,75.0,1,0,0,0,1,0,0,17.2,99.2,0,36.9,0,11.5,23.1,45.8,5.0,0,1,0,0,3910.0,0.0,5.0,150.0,0,114.0,0,2.8,10.3,8.2,0,25.8,60.0,18.0,25.8,20.0,19.9,1,10.2,1,49.4,50.3,60.0,81.0,21.3,0,0,0,0,0,3.0,0,0,0.0,96.4,5.5,1,12388.0,25444.0,13879.0,25186.0
